filename,label,duration_sec,sample_rate,rms_energy,peak_amplitude,path
A_0001.wav,A,1.0,16000,0.061968,0.474518,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0001.wav
A_0002.wav,A,1.0,16000,0.066933,0.524933,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0002.wav
A_0003.wav,A,1.0,16000,0.066933,0.596039,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0003.wav
A_0004.wav,A,1.0,16000,0.064498,0.517822,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0004.wav
A_0005.wav,A,1.0,16000,0.064498,0.535156,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0005.wav
A_0006.wav,A,1.0,16000,0.064498,0.490356,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0006.wav
A_0007.wav,A,1.0,16000,0.066933,0.542847,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0007.wav
A_0008.wav,A,1.0,16000,0.064498,0.542755,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0008.wav
A_0009.wav,A,1.0,16000,0.061968,0.581787,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0009.wav
A_0010.wav,A,1.0,16000,0.064498,0.646179,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0010.wav
A_0011.wav,A,1.0,16000,0.064498,0.596924,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0011.wav
A_0012.wav,A,1.0,16000,0.066933,0.512726,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0012.wav
A_0013.wav,A,1.0,16000,0.066933,0.499786,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0013.wav
A_0014.wav,A,1.0,16000,0.066933,0.481567,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0014.wav
A_0015.wav,A,1.0,16000,0.066933,0.494202,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0015.wav
A_0016.wav,A,1.0,16000,0.066933,0.520508,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0016.wav
A_0017.wav,A,1.0,16000,0.064498,0.521484,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0017.wav
A_0018.wav,A,1.0,16000,0.064498,0.543732,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0018.wav
A_0019.wav,A,1.0,16000,0.061968,0.585052,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0019.wav
A_0020.wav,A,1.0,16000,0.064498,0.679871,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0020.wav
A_0021.wav,A,1.0,16000,0.064498,0.572174,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0021.wav
A_0022.wav,A,1.0,16000,0.064498,0.550385,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0022.wav
A_0023.wav,A,1.0,16000,0.061968,0.526154,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0023.wav
A_0024.wav,A,1.0,16000,0.064498,0.479675,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0024.wav
A_0025.wav,A,1.0,16000,0.064498,0.522888,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0025.wav
A_0026.wav,A,1.0,16000,0.061968,0.475128,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0026.wav
A_0027.wav,A,1.0,16000,0.066933,0.451721,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0027.wav
A_0028.wav,A,1.0,16000,0.069282,0.412567,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0028.wav
A_0029.wav,A,1.0,16000,0.069282,0.485199,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0029.wav
A_0030.wav,A,1.0,16000,0.064498,0.453888,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0030.wav
A_0031.wav,A,1.0,16000,0.066933,0.526611,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0031.wav
A_0032.wav,A,1.0,16000,0.061968,0.528839,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0032.wav
A_0033.wav,A,1.0,16000,0.064498,0.53009,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0033.wav
A_0034.wav,A,1.0,16000,0.064498,0.549866,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0034.wav
A_0035.wav,A,1.0,16000,0.064498,0.624115,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0035.wav
A_0036.wav,A,1.0,16000,0.069282,0.660339,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0036.wav
A_0037.wav,A,1.0,16000,0.071554,0.469879,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0037.wav
A_0038.wav,A,1.0,16000,0.071554,0.518738,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0038.wav
A_0039.wav,A,1.0,16000,0.071554,0.458923,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0039.wav
A_0040.wav,A,1.0,16000,0.069282,0.4711,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0040.wav
A_0041.wav,A,1.0,16000,0.061968,0.426086,D:\STUPEN\Heartz\data-science\dataset\clean\A\A_0041.wav
