filename,label,label_encoded,augmentation_type,duration_sec,rms_energy,peak_amplitude,zero_crossing_rate,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12
A_0001.wav,A,0,original,1.0,0.061968,0.474518,0.041733,669.5561,543.401,1059.082,0.503102,-494.12146,57.98801,-42.951424,-7.108664,-23.141384,18.106499,-4.506893,-4.555657,-3.686563,-3.861735,-5.937417,-13.767534,-5.624259,223.664185,66.785583,56.694008,9.831917,33.152359,20.672535,10.192654,7.776159,7.032425,6.948376,7.389572,16.322142,7.594014,-0.0906,-0.10277,-0.060734,-0.05419,-0.080431,-0.093917,-0.075735,-0.05175,-0.043632,-0.039663,-0.025054,-0.010748,-0.01228,0.288063,0.269017,0.19302,0.171113,0.226012,0.239879,0.239736,0.206632,0.287546,0.364756,0.277168,0.369822
A_0001_aug01.wav,A,0,aug01,1.0,0.07127,0.543243,0.365662,3209.3017,2054.248,5494.3848,0.371766,-232.210373,26.710003,-18.261868,-17.386042,-7.806944,7.67535,2.495242,-4.364635,-0.44788,-1.322842,-2.108349,-8.608479,-4.260172,82.505569,41.086739,28.001953,24.56811,12.438358,12.674851,5.483149,7.327885,3.279709,4.065498,4.849546,11.254469,7.179746,0.318944,-0.021728,-0.065737,-0.056536,0.069778,0.362876,0.219352,-0.135939,-0.127681,-0.232727,-0.269183,0.001243,0.078197,0.6674,0.618725,0.550474,0.563265,0.669815,0.675856,0.68911,0.648233,0.727289,0.805959,0.760561,0.827308
A_0001_aug02.wav,A,0,aug02,1.0,0.056033,0.501923,0.340164,3103.6898,1996.0776,5339.1113,0.352737,-295.771637,31.527351,-24.754662,-16.882763,-8.690489,10.692419,0.567284,-6.056022,-1.046092,-2.902066,-4.510419,-9.540384,-1.187231,102.06147,43.05434,34.458817,21.875637,12.591143,13.39223,2.734671,7.900929,3.065868,5.235123,6.586967,12.036356,5.361643,0.182182,0.040274,-0.171539,-0.285465,0.010334,0.074193,0.014536,0.092907,-0.041004,0.13807,0.328988,0.236321,0.059749,0.628303,0.634082,0.572523,0.573982,0.601009,0.709594,0.707935,0.654935,0.70044,0.768045,0.725598,0.814487
A_0001_aug03.wav,A,0,aug03,1.0,0.048012,0.319061,0.084351,1254.2177,1038.5369,2223.877,0.268656,-487.809601,68.477249,-51.810387,-12.090211,-27.799061,22.099457,-3.967055,-5.142833,-3.682735,-5.146527,-7.000884,-16.464706,-7.073249,214.9814,63.336494,53.309238,13.633178,30.975475,20.461966,10.825883,8.151355,7.045448,7.040181,6.37706,15.234218,8.018855,0.313574,0.207817,-0.098216,-0.109028,-0.149103,-0.228788,-0.087513,0.009736,-0.140122,-0.211448,-0.030707,0.007993,-0.047135,0.374949,0.365007,0.248397,0.254898,0.335658,0.368453,0.386611,0.285099,0.395899,0.435406,0.388316,0.526997
A_0001_aug04.wav,A,0,aug04,1.0,0.040446,0.422119,0.104538,1196.0602,1034.1814,1970.459,0.004553,-395.585205,142.92804,-57.385967,-0.27397,-18.38479,18.784889,-0.916445,-3.464438,0.29096,-1.788622,-2.89555,-10.220304,-4.512707,127.272285,9.086585,37.871819,6.669969,29.773796,25.996952,7.94705,4.810605,5.083537,4.444456,3.886948,12.246657,3.804004,0.019876,0.05196,-0.007286,-0.024302,0.13453,0.185003,0.067923,0.065766,0.189741,0.032163,-0.215332,-0.076783,0.07412,0.607952,0.567589,0.544385,0.539622,0.590732,0.640891,0.580083,0.528172,0.564483,0.668205,0.612309,0.700179
A_0002.wav,A,0,original,1.0,0.066933,0.524933,0.046967,737.0546,587.7015,1169.6777,0.440187,-464.231049,58.944511,-48.521255,-3.705081,-23.225191,14.468975,-3.532088,-8.894115,-2.702826,-3.257146,-6.499081,-15.701208,-8.079577,201.610153,60.4636,55.76107,9.6733,29.4291,14.77249,7.378114,9.405838,5.050607,5.406523,8.301166,16.57427,8.683221,1.026803,0.390884,-0.262123,-0.054742,-0.293783,-0.044074,-0.066959,-0.154909,0.016318,-0.08817,0.024941,-0.049719,-0.151288,0.18433,0.125312,0.284332,0.255671,0.343717,0.284423,0.359351,0.201828,0.186864,0.395943,0.189275,0.137277
A_0002_aug01.wav,A,0,aug01,1.0,0.104412,0.817993,0.340561,3123.3285,2073.8287,5482.9102,0.34203,-202.060059,26.032692,-18.508377,-13.781053,-6.880754,6.37981,3.96226,-5.909736,-0.981628,0.574321,-3.713285,-8.322599,-5.455089,75.86734,34.848869,26.104956,14.954213,9.92303,7.400878,4.798079,7.220078,2.752442,3.015688,3.566797,9.591871,7.652036,0.382418,0.048702,-0.178386,-0.373689,-0.24176,-0.016462,0.095836,-0.0065,0.066905,-0.030036,0.013575,-0.085979,-0.066199,0.494155,0.459626,0.635666,0.607303,0.684454,0.659963,0.698298,0.571713,0.655626,0.860471,0.627686,0.585243
A_0002_aug02.wav,A,0,aug02,1.0,0.058742,0.485779,0.318985,3023.3558,2005.6138,5310.791,0.328819,-299.343811,30.642262,-22.963551,-11.774876,-7.141,7.469372,2.918215,-6.721801,-0.990239,-0.849094,-3.028824,-8.629713,-6.355623,91.577118,38.990139,31.977182,14.495585,12.550947,8.026209,4.106446,8.44651,2.801468,2.595764,5.95571,12.077677,8.406682,0.119565,0.042096,-0.048625,-0.227354,0.010838,-0.066625,-0.165162,-0.121392,-0.147258,0.067982,0.135627,0.226414,0.132359,0.49381,0.536075,0.673493,0.585065,0.665759,0.648381,0.675268,0.50835,0.592476,0.866281,0.597026,0.563118
A_0002_aug03.wav,A,0,aug03,1.0,0.080146,0.657257,0.078262,1253.9137,1077.4434,2306.6406,0.260829,-448.167389,59.104652,-47.474937,-4.545908,-22.030413,15.04217,-2.660556,-8.639929,-2.523592,-2.731264,-6.544721,-16.132875,-8.128557,198.354996,59.340725,54.415394,10.202716,28.833162,14.496588,7.308387,8.967367,4.485483,5.633101,8.188911,15.889872,7.888317,0.154297,0.022399,-0.104666,-0.068954,-0.12226,-0.072081,-0.032682,-0.061855,-0.071545,0.021702,0.141743,-0.014183,-0.08279,0.245764,0.249428,0.393158,0.302725,0.433946,0.402114,0.52697,0.320942,0.276058,0.47779,0.223486,0.213808
A_0002_aug04.wav,A,0,aug04,1.0,0.052487,0.420929,0.099365,1174.3455,1023.8484,1962.6465,0.004858,-384.281189,137.522552,-55.384178,2.372838,-18.246597,9.818891,3.683719,-7.591083,0.986229,0.186236,1.439145,-9.015196,-6.049116,117.128845,12.356636,39.647533,8.545144,27.938761,17.338982,4.48736,5.253997,2.712955,4.437533,4.154765,11.867568,7.596294,0.065425,-0.309332,-0.27196,0.081955,-0.149717,0.009703,0.105879,-0.099593,-0.021264,-0.031146,0.013287,0.009024,-0.119078,0.402536,0.536437,0.57108,0.65169,0.556828,0.567002,0.43207,0.432032,0.738384,0.544793,0.417625,0.530151
